Pachyderm Acoustic Simulation Results
Saved 26.06.2022 16:34:44
Filename:PachydermRhinoGewandhaus2.3dm
Source 0;
Receiver 0;63 Hz.;125 Hz.;250 Hz.;500 Hz.;1000 Hz.; 2000 Hz.;4000 Hz.; 8000 Hz.
Early Decay Time (EDT);1,10431230336145;1,06734359940742;1,1251865818609;1,12306443740766;1,36700427050006;1,3726476629983;1,46113024639855;1,68177657512728
Reverberation Time (T-10);1,26453792034933;1,22286422490544;1,32686822261024;1,45493168919579;1,85284740219216;1,55823208914042;1,38151714427056;1,70518775275474
Reverberation Time (T-15);1,46804494394397;1,42737684638827;1,58021325975139;1,69986802188237;1,91639926812081;1,61912568629298;1,38082102703766;1,71326620733569
Reverberation Time (T-20);1,54630294552124;1,52767081329719;1,66349566840086;1,764491062085;1,96622338354051;1,66228963904094;1,40966507304287;1,71373076042338
Reverberation Time (T-30);1,6074152901141;1,58047382237677;1,79357595179033;1,91106128125951;2,18495816609204;1,70081537186723;1,36998773584277;1,71236268717319
Clarity - 50 ms (C-50);1,6240038659381;1,55140920858466;1,17532315200935;1,09961287995361;0,532183303228703;1,12197343429407;1,36283298283225;0,102015620571926
Definition/Deutlichkeit (D);59,2410848424155;58,8368560800085;56,7247110071162;56,2962797175251;53,0596656515699;56,4229149738749;57,7813475200977;50,5872221168288
Clarity - 80 ms (C-80);4,19013592155735;4,15178097831363;3,70528793252541;3,7957211853046;3,32996719384671;3,65517371485602;3,24715183949699;1,92816148607339
Center Time (TS);62,113320565212;61,6071374380573;66,7226081507466;67,9292899207663;78,5933638002861;71,2961545661955;69,8941238609076;89,4338387277862
Strength(G);4,00758602214233;3,85096196166565;3,80964358824508;3,43392331017075;3,13183844218543;1,93657300777491;0,731823589123991;1,61403621282146
Lateral Fraction(LF);182,846505058022;191,023256469621;199,301325240737;211,742185649468;223,440447062754;184,723037300409;143,88567147019;183,435167194955
Lateral Efficiency(LE);182,685081783813;190,655203205334;198,270521709657;209,173315157746;218,452500593095;177,174442468845;133,711136706246;149,180376764123
