Pachyderm Acoustic Simulation Results
Saved 24.06.2022 00:10:44
Filename:PachydermRhinoGewandhaus2.3dm
Source 0;
Receiver 0;63 Hz.;125 Hz.;250 Hz.;500 Hz.;1000 Hz.; 2000 Hz.;4000 Hz.; 8000 Hz.
Early Decay Time (EDT);1,10088955598975;1,05806284547162;1,10546689554461;1,11866518565769;1,37414606579256;1,39635290272115;1,42554278073292;1,39601983538979
Reverberation Time (T-10);1,2591586025699;1,21635306527696;1,29936823706211;1,42549323350538;1,84631803275274;1,573296818056;1,43473165670895;1,28464303162997
Reverberation Time (T-15);1,47969682454458;1,43506985291362;1,56343562425461;1,68881221308475;1,99754266809067;1,60386890925485;1,43310379629451;1,29477826481932
Reverberation Time (T-20);1,56827553436218;1,55169439761231;1,68642399636053;1,78785399367835;2,04001464508239;1,6254118086462;1,4429785550066;1,31206149239583
Reverberation Time (T-30);1,63866384301401;1,65786356150221;1,78978730684408;1,88392332051298;2,08569086099212;1,65296203255951;1,4275113153489;1,31250687505521
Clarity - 50 ms (C-50);1,73838391561059;1,6736566220596;1,26713218094533;1,15512908060275;0,64856903350649;1,04355051593785;1,18388908641116;1,6396927259072
Definition/Deutlichkeit (D);59,8754376049578;59,5168512359057;57,2428905343203;56,6105318368056;53,726540268932;55,9784223431522;56,7731221082885;59,328282991116
Clarity - 80 ms (C-80);4,30963709340275;4,29130048397767;3,81852718662191;3,8706166670381;3,50321107156405;3,5668308161645;3,11367644248258;3,59186401041679
Center Time (TS);61,5936271958972;60,8979185884481;65,9820860430646;67,53779384309;77,8389858044895;72,4746662756634;70,7208841722238;64,2029615219531
Strength(G);3,95855814321135;3,79928469160163;3,76828970420583;3,41968956486831;3,05407484758537;2,01050939608211;0,901788480033474;0,518244175014431
Lateral Fraction(LF);182,95104789884;191,152722695575;199,262156978129;211,761105497911;225,328616573744;188,912825341499;143,770278395555;136,598014825494
Lateral Efficiency(LE);182,79212741495;190,783125597208;198,303932190153;209,098091837988;219,802757934923;181,699352448093;133,964008119338;126,008828015495
